Account,Influence Score,Total Impressions,Total Engagements,Human Followers,Bot Followers,Tweets,Avg Tweet Quality,Avg Engagement Rate,Tweet Probability,Popularity Multiplier,DoNotUse
9,27.407,10832045,312115,34032,882,565,0.610,0.029,0.559,1.340,
10,4.185,2392012,47661,7190,296,510,0.666,0.020,0.516,1.090,
1,10.364,1464299,139906,4061,243,552,0.542,0.096,0.543,1.038,
2,2.328,1874666,31428,5430,675,401,0.463,0.017,0.393,1.073,
3,0.097,617270,1303,1823,79,503,0.434,0.003,0.480,1.027,
4,19.340,4922853,261084,14351,729,576,0.466,0.053,0.529,1.166,
5,8.623,2306662,116404,6628,188,624,0.508,0.051,0.594,1.072,
6,25.918,4186910,349883,12393,672,506,0.595,0.084,0.474,1.122,
7,0.123,256687,1657,750,12,497,0.479,0.007,0.463,1.017,
8,10.119,2377907,136604,6631,779,446,0.310,0.058,0.440,1.094,
9,20.535,1263003,277215,3880,689,329,0.409,0.220,0.325,1.043,
10,2.554,550096,34476,1478,89,567,0.378,0.063,0.550,1.027,
1,1.645,7204119,17737,20589,805,552,0.623,0.003,0.504,1.209,
2,0.114,1292470,1233,4068,357,387,0.587,0.001,0.382,1.046,
3,25.872,1995751,278872,5957,500,442,0.608,0.140,0.403,1.066,
4,1.625,1272884,17511,3650,214,555,0.479,0.014,0.536,1.044,
5,24.051,2916484,259247,8096,190,685,0.521,0.089,0.635,1.089,
6,25.257,4013249,272252,11385,771,489,0.619,0.068,0.452,1.123,
7,3.595,1152567,38748,3340,246,471,0.527,0.034,0.474,1.036,
8,10.343,2476928,111486,7431,430,458,0.741,0.045,0.421,1.073,
9,6.065,879594,65371,2405,274,451,0.349,0.075,0.452,1.032,
10,1.434,4699102,15453,14233,704,510,0.495,0.003,0.490,1.155,
1,13.959,6500049,326524,20317,864,519,0.603,0.050,0.521,1.205,
2,6.320,2846078,147827,7945,386,566,0.532,0.052,0.566,1.080,
3,2.169,1291085,50744,4097,751,300,0.529,0.039,0.307,1.048,
4,0.556,426913,13014,1152,43,586,0.467,0.031,0.589,1.019,
5,38.718,7570802,905682,21425,961,579,0.511,0.120,0.622,1.229,
6,0.767,1396038,17944,3968,228,508,0.512,0.013,0.462,1.036,
7,15.167,6653751,354787,20818,865,537,0.541,0.053,0.543,1.241,
8,2.336,5130467,54639,14713,889,508,0.575,0.011,0.510,1.167,
9,1.794,2516023,41966,7244,910,418,0.289,0.017,0.399,1.084,
10,18.214,3853462,426061,11730,741,482,0.595,0.111,0.458,1.126,
1,4.494,2331338,118997,6256,456,517,0.437,0.051,0.518,1.075,
2,1.179,641197,31213,2003,376,304,0.424,0.049,0.328,1.024,
3,0.203,178304,5378,618,35,325,0.574,0.031,0.337,1.015,
4,11.216,10642300,297009,31983,753,657,0.568,0.028,0.651,1.317,
5,1.804,2125286,47780,6162,407,478,0.575,0.023,0.489,1.072,
6,6.886,1102824,182352,3224,87,608,0.505,0.166,0.627,1.038,
7,20.647,5708471,546748,16091,643,626,0.468,0.096,0.648,1.175,
8,3.558,4140285,94219,12731,539,508,0.818,0.023,0.524,1.138,
9,9.980,2003323,264273,6040,852,344,0.566,0.132,0.360,1.057,
10,40.034,10197139,1060143,32091,536,634,0.567,0.104,0.668,1.348,
1,4.254,3570787,65355,10562,816,451,0.645,0.018,0.442,1.120,
2,6.435,2909625,98862,8372,779,454,0.475,0.034,0.435,1.094,
3,0.946,324533,14527,890,49,499,0.310,0.046,0.457,1.017,
4,4.778,2140949,73402,5558,571,508,0.447,0.034,0.481,1.077,
5,0.000,683335,3,2147,172,422,0.467,0.000,0.390,1.027,
6,37.014,8715332,568675,24113,764,668,0.500,0.065,0.648,1.237,
7,0.578,115182,8874,419,49,239,0.547,0.078,0.234,1.013,
8,31.585,2826574,485271,8235,822,434,0.475,0.172,0.423,1.098,
9,0.284,1497281,4368,3977,196,593,0.484,0.003,0.567,1.056,
10,14.128,8672938,217058,23729,708,732,0.420,0.025,0.685,1.240,
1,0.096,620999,752,1800,189,412,0.467,0.002,0.439,1.025,
2,30.249,1701040,236028,4986,158,563,0.575,0.139,0.552,1.064,
3,0.644,1247205,5027,3848,675,313,0.543,0.004,0.291,1.052,
4,1.337,1658606,10436,4730,89,657,0.677,0.006,0.655,1.052,
5,7.594,841582,59255,2397,117,531,0.531,0.071,0.542,1.034,
6,0.455,1488376,3548,4117,399,463,0.411,0.003,0.464,1.049,
7,31.679,3765124,247186,10064,487,593,0.476,0.066,0.585,1.113,
8,3.917,422275,30564,1239,112,411,0.482,0.073,0.410,1.023,
9,21.502,5660546,167782,17054,497,618,0.633,0.030,0.618,1.162,
10,2.526,703091,19713,2061,204,442,0.411,0.028,0.462,1.026,
1,0.507,1051386,2918,2775,154,599,0.276,0.003,0.652,1.033,
2,3.745,698253,21543,1948,149,495,0.356,0.031,0.570,1.033,
3,29.267,3968485,168381,11936,312,586,0.665,0.043,0.654,1.132,
4,6.031,3355888,34700,9286,818,484,0.424,0.010,0.548,1.096,
5,15.986,2176021,91969,6424,825,375,0.576,0.042,0.424,1.068,
6,0.925,530939,5321,1623,261,327,0.453,0.010,0.361,1.023,
7,9.125,1047161,52498,2944,136,589,0.484,0.050,0.628,1.035,
8,0.164,260203,942,804,40,435,0.460,0.004,0.488,1.022,
9,26.146,6860052,150425,19262,697,618,0.510,0.022,0.689,1.175,
10,8.104,4514680,46623,12735,918,494,0.534,0.010,0.564,1.148,
1,70.207,5528203,1094627,15607,609,630,0.511,0.198,0.648,1.161,
2,0.072,624404,1130,1807,174,455,0.506,0.002,0.451,1.033,
3,10.959,3802694,170869,10684,733,522,0.413,0.045,0.511,1.134,
4,4.396,1045329,68544,2722,326,460,0.474,0.066,0.470,1.031,
5,0.002,435547,28,1179,122,448,0.375,0.000,0.480,1.021,
6,0.887,1110886,13827,3158,406,405,0.456,0.013,0.404,1.047,
7,7.171,1656299,111812,4481,408,517,0.349,0.068,0.530,1.047,
8,5.533,4010118,86270,10618,654,587,0.410,0.022,0.578,1.113,
9,0.646,406524,10075,1255,50,444,0.577,0.025,0.432,1.019,
10,0.126,810642,1968,2203,133,532,0.476,0.003,0.543,1.021,
1,2.299,1606583,25326,4542,792,364,0.414,0.016,0.338,1.063,
2,1.978,228375,21791,681,49,394,0.585,0.096,0.387,1.016,
3,1.955,937774,21536,2763,470,361,0.391,0.023,0.363,1.042,
4,5.723,7787061,63040,23001,794,536,0.723,0.008,0.538,1.233,
5,4.132,1771529,45512,4722,194,635,0.451,0.026,0.609,1.049,
6,1.322,2427263,14558,7343,638,441,0.577,0.006,0.407,1.085,
7,0.135,1975210,1486,5468,380,538,0.437,0.001,0.526,1.064,
8,3.474,434846,38265,1293,62,506,0.354,0.089,0.460,1.030,
9,16.424,2659319,180921,7694,129,672,0.575,0.068,0.639,1.076,
10,62.558,10265654,689100,31904,917,554,0.658,0.067,0.498,1.313,
1,1.516,1042273,52414,3008,367,392,0.482,0.050,0.384,1.037,
2,47.124,9650173,1628968,29641,986,569,0.517,0.169,0.591,1.307,
3,3.464,974390,119728,2902,173,488,0.595,0.123,0.529,1.035,
4,7.666,3408216,265007,9578,645,531,0.453,0.078,0.561,1.100,
5,0.318,1713401,11001,4837,313,535,0.412,0.007,0.516,1.051,
6,13.626,4609852,471025,13662,467,597,0.618,0.102,0.630,1.144,
7,0.005,1232747,159,3501,231,507,0.398,0.000,0.508,1.036,
8,0.572,1802354,19766,5068,576,452,0.339,0.011,0.461,1.059,
9,1.559,2352069,53894,6742,936,381,0.457,0.023,0.401,1.076,
10,24.151,5876370,834836,18092,520,549,0.618,0.142,0.569,1.192,
1,1.625,882980,19800,2468,155,560,0.376,0.023,0.508,1.032,
2,0.400,1473941,4877,4273,572,399,0.437,0.003,0.341,1.049,
3,40.643,2424461,495195,6725,869,435,0.338,0.204,0.378,1.066,
4,15.700,5028855,191295,14283,696,586,0.551,0.038,0.513,1.169,
5,0.862,607584,10497,1698,202,430,0.294,0.018,0.390,1.028,
6,5.459,1423477,66514,4121,453,425,0.506,0.047,0.373,1.049,
7,13.275,4284712,161749,11220,520,656,0.406,0.038,0.566,1.138,
8,21.370,2442748,260376,6991,833,394,0.530,0.107,0.352,1.071,
9,0.355,1367030,4323,3621,206,600,0.437,0.003,0.521,1.048,
10,0.311,1021427,3786,2859,110,515,0.605,0.004,0.460,1.044,
1,7.342,3321339,50499,9985,697,456,0.622,0.015,0.493,1.101,
2,14.472,5882809,99544,17199,370,688,0.623,0.017,0.737,1.170,
3,6.627,1053209,45583,2951,688,355,0.230,0.043,0.351,1.039,
4,4.679,2211056,32182,6021,460,547,0.366,0.015,0.568,1.072,
5,0.454,569029,3123,1574,242,370,0.519,0.006,0.353,1.018,
6,2.486,1619043,17101,4522,499,439,0.542,0.011,0.429,1.060,
7,3.068,1490778,21103,3888,254,579,0.384,0.014,0.605,1.053,
8,41.962,4385935,288634,12910,814,500,0.500,0.066,0.486,1.140,
9,12.475,3078826,85808,8723,433,581,0.543,0.028,0.617,1.092,
10,6.437,4329844,44274,12207,874,486,0.626,0.010,0.521,1.133,
1,11.090,2406205,213355,6789,646,464,0.432,0.089,0.476,1.069,
2,2.965,1432179,57048,4298,398,421,0.556,0.040,0.429,1.060,
3,4.412,4065793,84869,11005,982,539,0.234,0.021,0.561,1.122,
4,12.509,8736896,240641,25685,746,653,0.523,0.028,0.656,1.271,
5,0.683,1333755,13134,3653,233,508,0.643,0.010,0.486,1.037,
6,1.781,1060699,34257,2948,275,475,0.389,0.033,0.497,1.036,
7,30.965,8042802,595700,24021,636,598,0.646,0.074,0.614,1.260,
8,19.482,6842615,374794,20388,775,552,0.490,0.055,0.528,1.235,
9,0.371,2463450,7143,7279,886,388,0.490,0.003,0.383,1.087,
10,15.741,1162047,302829,3536,295,403,0.578,0.261,0.413,1.036,
1,2.747,1199782,20692,3351,126,623,0.510,0.017,0.651,1.039,
2,8.827,940687,66484,2761,289,415,0.561,0.071,0.443,1.034,
3,6.520,853324,49108,2672,263,387,0.658,0.058,0.402,1.028,
4,4.393,6835067,33084,21530,477,570,0.734,0.005,0.598,1.243,
5,13.518,496222,101812,1415,132,403,0.593,0.206,0.446,1.023,
6,3.240,550173,24403,1699,67,445,0.651,0.045,0.435,1.028,
7,20.671,2652487,155690,7336,811,465,0.487,0.059,0.489,1.083,
8,1.407,2488511,10599,7044,312,587,0.517,0.004,0.613,1.076,
9,38.040,5739176,286509,15939,948,569,0.349,0.050,0.626,1.174,
10,0.637,275931,4796,779,26,542,0.356,0.018,0.576,1.016,
1,1.251,615861,25682,1821,83,510,0.427,0.042,0.630,1.029,
2,2.508,1350755,51474,3928,215,543,0.476,0.038,0.612,1.054,
3,2.984,609315,61237,1831,44,575,0.614,0.101,0.692,1.037,
4,0.692,671533,14203,2006,229,397,0.582,0.021,0.477,1.024,
5,0.947,351842,19439,987,136,378,0.568,0.056,0.454,1.026,
6,41.633,7175533,854393,21105,390,666,0.659,0.119,0.787,1.219,
7,22.319,3168353,458021,8495,779,499,0.380,0.145,0.574,1.087,
8,4.916,3216195,100887,9504,578,491,0.639,0.031,0.562,1.095,
9,6.502,1483186,133432,4450,262,475,0.504,0.090,0.577,1.053,
10,16.247,2440594,333414,7041,617,471,0.457,0.137,0.546,1.073,
1,23.198,2970430,348788,8395,680,506,0.379,0.118,0.494,1.100,
2,7.670,1744281,115317,4482,328,588,0.263,0.066,0.609,1.055,
3,0.378,332748,5686,939,102,438,0.383,0.018,0.432,1.018,
4,15.425,6013462,231912,17330,926,564,0.473,0.039,0.558,1.197,
5,0.744,1462561,11179,4349,853,328,0.491,0.008,0.323,1.037,
6,2.760,1083283,41498,3115,183,528,0.443,0.039,0.530,1.039,
7,1.900,2231109,28564,6377,439,503,0.554,0.013,0.496,1.062,
8,2.578,703451,38756,2103,232,411,0.483,0.055,0.423,1.030,
9,19.261,8239782,289586,25257,799,601,0.495,0.035,0.608,1.262,
10,26.088,7291542,392230,21944,919,535,0.589,0.054,0.569,1.225,
1,1.187,1895058,9300,5076,274,617,0.365,0.005,0.574,1.050,
2,11.521,2262304,90252,6397,316,538,0.550,0.040,0.513,1.065,
3,7.986,2226990,62561,6068,159,697,0.424,0.028,0.660,1.080,
4,11.144,2494687,87297,7025,941,417,0.240,0.035,0.388,1.071,
5,13.307,1571899,104244,5047,327,410,0.624,0.066,0.370,1.066,
6,11.415,1141231,89421,3477,192,456,0.673,0.079,0.430,1.042,
7,5.429,627941,42529,1733,264,396,0.341,0.068,0.373,1.018,
8,10.227,3516989,80118,9873,693,497,0.514,0.023,0.482,1.103,
9,6.181,1759285,48416,5471,310,441,0.622,0.028,0.407,1.064,
10,21.602,3201193,169221,8865,588,534,0.432,0.053,0.516,1.077,
1,24.489,3744279,628469,10675,752,505,0.448,0.168,0.464,1.120,
2,3.091,771022,79320,2079,195,483,0.373,0.103,0.446,1.026,
3,8.679,3242754,222732,9301,598,522,0.525,0.069,0.465,1.112,
4,3.866,3216268,99218,9207,532,519,0.580,0.031,0.451,1.097,
5,1.322,3171532,33915,9404,917,436,0.470,0.011,0.384,1.120,
6,0.888,3609726,22794,10423,874,478,0.417,0.006,0.400,1.101,
7,6.496,1853994,166719,5384,255,548,0.579,0.090,0.489,1.070,
8,11.142,4052243,285943,11242,418,634,0.566,0.071,0.573,1.135,
9,8.762,1410426,224861,4696,998,244,0.604,0.160,0.232,1.050,
10,31.266,7127361,802405,20055,873,635,0.411,0.113,0.553,1.193,
1,3.434,1163159,34326,3500,412,379,0.518,0.030,0.364,1.046,
2,1.032,409046,10311,1162,85,452,0.564,0.026,0.415,1.019,
3,1.237,724437,12363,2102,164,439,0.472,0.017,0.410,1.027,
4,4.867,2502668,48653,7224,484,510,0.451,0.020,0.503,1.067,
5,1.079,911227,10787,2503,20,780,0.437,0.012,0.754,1.034,
6,9.254,4124546,92500,10695,496,666,0.439,0.023,0.630,1.112,
7,67.254,4885095,672254,13921,784,542,0.525,0.138,0.516,1.147,
8,1.108,1518179,11072,4360,202,545,0.493,0.007,0.530,1.046,
9,9.831,2921769,98269,8237,656,487,0.468,0.034,0.435,1.092,
10,0.904,828820,9039,2866,924,203,0.460,0.011,0.205,1.038,
1,13.324,2129271,150278,6330,238,512,0.633,0.071,0.541,1.064,
2,24.831,9324993,280061,27120,565,747,0.526,0.030,0.761,1.289,
3,3.561,2943716,40165,8006,868,480,0.324,0.014,0.511,1.084,
4,24.508,3457110,276408,10474,762,424,0.628,0.080,0.398,1.095,
5,0.358,459709,4036,1250,87,493,0.382,0.009,0.489,1.021,
6,0.145,4831706,1636,13516,896,544,0.530,0.000,0.557,1.143,
7,5.663,781286,63871,2561,140,409,0.643,0.082,0.453,1.035,
8,8.709,7523222,98225,23862,604,540,0.702,0.013,0.560,1.253,
9,1.158,2238843,13064,6681,532,436,0.630,0.006,0.439,1.074,
10,17.742,3387086,200104,10132,898,416,0.498,0.059,0.429,1.106,
1,1.681,2280892,16701,6443,378,541,0.505,0.007,0.549,1.067,
2,20.724,2895070,205948,8096,688,467,0.561,0.071,0.487,1.071,
3,1.459,5676301,14495,16992,983,497,0.620,0.003,0.517,1.166,
4,13.536,8253347,134512,24695,692,560,0.683,0.016,0.572,1.261,
5,3.080,2308044,30603,6189,486,528,0.429,0.013,0.537,1.073,
6,1.870,1663153,18579,4973,950,344,0.328,0.011,0.365,1.057,
7,35.360,2395440,351385,6692,362,557,0.524,0.147,0.593,1.082,
8,6.035,1942679,59974,5535,353,519,0.552,0.031,0.502,1.063,
9,15.872,6128862,157726,18419,848,534,0.590,0.026,0.526,1.193,
10,0.385,463353,3825,1303,100,453,0.572,0.009,0.476,1.016,
1,9.946,4419850,211054,12026,623,586,0.432,0.048,0.531,1.130,
2,12.879,8289572,273281,24728,881,554,0.556,0.033,0.508,1.276,
3,0.144,328274,3055,1064,171,298,0.474,0.010,0.245,1.020,
4,11.964,3001233,253873,7608,872,520,0.279,0.085,0.468,1.071,
5,32.529,3582491,690245,9851,716,544,0.392,0.193,0.496,1.105,
6,7.707,7164112,163536,21487,979,506,0.621,0.023,0.438,1.234,
7,0.808,594193,17135,1668,103,520,0.370,0.029,0.460,1.020,
8,21.866,4692070,463982,12820,430,649,0.522,0.099,0.598,1.135,
9,0.559,177874,11859,575,43,340,0.585,0.068,0.318,1.018,
10,1.600,2087209,33949,6201,386,486,0.496,0.016,0.454,1.062,
1,34.387,5345896,292029,15791,684,565,0.465,0.055,0.607,1.179,
2,11.622,1570164,98700,4479,257,540,0.439,0.063,0.630,1.061,
3,2.337,1170987,19843,3270,249,499,0.436,0.017,0.547,1.044,
4,1.218,791354,10345,2367,79,554,0.540,0.013,0.614,1.039,
5,2.106,4443935,17884,12766,891,499,0.455,0.004,0.555,1.129,
6,3.745,1397220,31803,4141,318,453,0.582,0.023,0.530,1.050,
7,9.837,2348902,83542,6501,255,595,0.551,0.036,0.661,1.082,
8,19.659,2194514,166953,6694,734,375,0.520,0.076,0.438,1.094,
9,0.894,509851,7591,1516,53,466,0.686,0.015,0.528,1.025,
10,14.194,4631694,120542,14443,900,454,0.634,0.026,0.514,1.141,
1,0.076,627325,798,1909,483,291,0.393,0.002,0.242,1.027,
2,1.836,2965981,19381,9123,567,426,0.734,0.007,0.363,1.097,
3,0.446,6010594,4704,18079,465,679,0.497,0.001,0.568,1.181,
4,13.663,2908104,144196,8078,300,630,0.503,0.050,0.513,1.080,
5,31.932,9574157,337017,28124,803,679,0.503,0.035,0.569,1.321,
6,13.869,6119175,146377,17417,684,612,0.568,0.024,0.538,1.179,
7,2.205,3277120,23271,9309,858,489,0.409,0.007,0.426,1.103,
8,18.822,2261909,198653,6104,375,564,0.446,0.088,0.467,1.072,
9,1.440,606086,15195,2185,649,201,0.745,0.025,0.158,1.024,
10,15.711,1907498,165821,5285,718,429,0.216,0.087,0.385,1.079,
1,6.352,2222562,150577,6507,480,485,0.412,0.068,0.505,1.060,
2,8.738,4219999,207138,12741,744,494,0.702,0.049,0.506,1.138,
3,6.479,9886958,153587,31206,812,579,0.688,0.016,0.608,1.279,
4,12.854,5045729,304721,13941,737,551,0.624,0.060,0.577,1.152,
5,10.748,1923046,254804,6092,779,332,0.589,0.133,0.358,1.067,
6,7.602,5982728,180225,16351,628,667,0.504,0.030,0.687,1.180,
7,18.367,7008103,435426,17831,858,692,0.360,0.062,0.701,1.190,
8,25.799,3814134,611605,10621,729,513,0.547,0.160,0.543,1.113,
9,0.575,267995,13643,798,48,438,0.540,0.052,0.442,1.019,
10,2.487,1309436,58950,4390,968,252,0.545,0.045,0.251,1.054,
1,45.309,4588182,336241,13548,981,473,0.527,0.073,0.472,1.135,
2,2.758,4568681,20465,13479,635,528,0.655,0.005,0.483,1.152,
3,1.597,662570,11849,1934,88,590,0.387,0.018,0.551,1.033,
4,2.210,5219726,16404,14756,992,520,0.514,0.003,0.481,1.160,
5,4.700,2040322,34879,5412,532,500,0.409,0.017,0.463,1.063,
6,16.232,2050906,120457,5775,689,422,0.308,0.059,0.390,1.084,
7,6.115,3188090,45380,8777,649,537,0.399,0.014,0.491,1.087,
8,2.107,1389691,15637,4151,330,440,0.594,0.011,0.433,1.050,
9,9.542,894703,70815,2396,266,469,0.377,0.079,0.441,1.030,
10,9.430,7190958,69979,20920,887,525,0.595,0.010,0.488,1.241,
1,4.329,453440,53802,1417,40,438,0.721,0.119,0.455,1.023,
2,1.843,2430739,22901,7236,841,380,0.629,0.009,0.415,1.063,
3,5.086,2768224,63207,7614,327,587,0.541,0.023,0.622,1.084,
4,6.048,3631217,75161,10575,819,505,0.438,0.021,0.552,1.117,
5,20.204,4316844,251077,12458,708,520,0.479,0.058,0.546,1.137,
6,28.649,5196622,356034,16233,568,513,0.676,0.069,0.544,1.188,
7,5.742,1655661,71353,4643,212,538,0.542,0.043,0.614,1.068,
8,5.003,2987712,62178,9155,666,447,0.555,0.021,0.498,1.104,
9,7.230,4593754,89845,13352,632,536,0.546,0.020,0.581,1.173,
10,15.866,4045769,197175,11467,569,536,0.625,0.049,0.576,1.103,
1,5.670,2483111,24900,7027,307,564,0.532,0.010,0.541,1.064,
2,0.995,436171,4368,1267,57,457,0.577,0.011,0.444,1.022,
3,1.277,507544,5606,1529,184,404,0.416,0.011,0.404,1.026,
4,24.323,3540745,106816,10030,357,624,0.548,0.030,0.585,1.096,
5,5.859,1180275,25730,3248,258,496,0.366,0.022,0.451,1.042,
6,12.372,1695073,54332,5067,450,437,0.504,0.032,0.425,1.060,
7,23.155,2439000,101686,6621,637,474,0.482,0.042,0.461,1.073,
8,0.367,1243627,1610,3864,263,436,0.756,0.001,0.419,1.038,
9,15.761,5497350,69216,15864,817,561,0.471,0.013,0.513,1.164,
10,10.223,4990616,44894,14598,672,548,0.496,0.009,0.530,1.157,
1,4.026,2561829,105117,7489,767,440,0.488,0.041,0.389,1.081,
2,4.368,8785615,114055,25135,683,641,0.485,0.013,0.599,1.252,
3,0.048,245056,1264,694,34,497,0.385,0.006,0.442,1.014,
4,2.811,1815207,73393,5278,679,393,0.473,0.041,0.347,1.061,
5,0.161,2109253,4216,5907,392,544,0.436,0.002,0.521,1.082,
6,0.084,231243,2202,785,172,257,0.508,0.010,0.230,1.018,
